energy_type,building_id,timestamp,value,unit
electricity,Bobcat_assembly_Franklin,2017-01-01 00:00:00,132.0,kWh
electricity,Bobcat_education_Alissa,2017-01-01 00:00:00,42.75,kWh
electricity,Bobcat_education_Dylan,2017-01-01 00:00:00,105.5,kWh
electricity,Bobcat_assembly_Franklin,2017-01-01 01:00:00,119.0,kWh
electricity,Bobcat_education_Alissa,2017-01-01 01:00:00,44.5,kWh
electricity,Bobcat_education_Dylan,2017-01-01 01:00:00,89.0,kWh
electricity,Bobcat_assembly_Franklin,2017-01-01 02:00:00,121.0,kWh
electricity,Bobcat_education_Alissa,2017-01-01 02:00:00,44.5,kWh
electricity,Bobcat_education_Dylan,2017-01-01 02:00:00,77.0,kWh
electricity,Bobcat_assembly_Franklin,2017-01-01 03:00:00,123.0,kWh
electricity,Bobcat_education_Alissa,2017-01-01 03:00:00,44.0,kWh
electricity,Bobcat_education_Dylan,2017-01-01 03:00:00,74.5,kWh
electricity,Bobcat_assembly_Franklin,2017-01-01 04:00:00,120.0,kWh
electricity,Bobcat_education_Alissa,2017-01-01 04:00:00,44.25,kWh
electricity,Bobcat_education_Dylan,2017-01-01 04:00:00,74.5,kWh
electricity,Bobcat_assembly_Franklin,2017-01-01 05:00:00,120.0,kWh
electricity,Bobcat_education_Alissa,2017-01-01 05:00:00,43.75,kWh
electricity,Bobcat_education_Dylan,2017-01-01 05:00:00,77.0,kWh
electricity,Bobcat_assembly_Franklin,2017-01-01 06:00:00,122.0,kWh
electricity,Bobcat_education_Alissa,2017-01-01 06:00:00,41.75,kWh
electricity,Bobcat_education_Dylan,2017-01-01 06:00:00,73.0,kWh
electricity,Bobcat_assembly_Franklin,2017-01-01 07:00:00,122.0,kWh
electricity,Bobcat_education_Alissa,2017-01-01 07:00:00,42.75,kWh
electricity,Bobcat_education_Dylan,2017-01-01 07:00:00,76.0,kWh
electricity,Bobcat_assembly_Franklin,2017-01-01 08:00:00,134.0,kWh
electricity,Bobcat_education_Alissa,2017-01-01 08:00:00,39.0,kWh
electricity,Bobcat_education_Dylan,2017-01-01 08:00:00,82.5,kWh
electricity,Bobcat_assembly_Franklin,2017-01-01 09:00:00,170.0,kWh
electricity,Bobcat_education_Alissa,2017-01-01 09:00:00,38.75,kWh
electricity,Bobcat_education_Dylan,2017-01-01 09:00:00,79.0,kWh
electricity,Bobcat_assembly_Franklin,2017-01-01 10:00:00,169.0,kWh
electricity,Bobcat_education_Alissa,2017-01-01 10:00:00,38.25,kWh
electricity,Bobcat_education_Dylan,2017-01-01 10:00:00,77.0,kWh
electricity,Bobcat_assembly_Franklin,2017-01-01 11:00:00,172.0,kWh
electricity,Bobcat_education_Alissa,2017-01-01 11:00:00,38.25,kWh
electricity,Bobcat_education_Dylan,2017-01-01 11:00:00,75.0,kWh
electricity,Bobcat_assembly_Franklin,2017-01-01 12:00:00,150.0,kWh
electricity,Bobcat_education_Alissa,2017-01-01 12:00:00,36.5,kWh
electricity,Bobcat_education_Dylan,2017-01-01 12:00:00,74.0,kWh
electricity,Bobcat_assembly_Franklin,2017-01-01 13:00:00,124.0,kWh
electricity,Bobcat_education_Alissa,2017-01-01 13:00:00,37.5,kWh
electricity,Bobcat_education_Dylan,2017-01-01 13:00:00,71.0,kWh
electricity,Bobcat_assembly_Franklin,2017-01-01 14:00:00,145.0,kWh
electricity,Bobcat_education_Alissa,2017-01-01 14:00:00,36.5,kWh
electricity,Bobcat_education_Dylan,2017-01-01 14:00:00,75.5,kWh
electricity,Bobcat_assembly_Franklin,2017-01-01 15:00:00,201.0,kWh
electricity,Bobcat_education_Alissa,2017-01-01 15:00:00,36.75,kWh
electricity,Bobcat_education_Dylan,2017-01-01 15:00:00,76.5,kWh
electricity,Bobcat_assembly_Franklin,2017-01-01 16:00:00,170.0,kWh
electricity,Bobcat_education_Alissa,2017-01-01 16:00:00,37.5,kWh
electricity,Bobcat_education_Dylan,2017-01-01 16:00:00,81.0,kWh
electricity,Bobcat_assembly_Franklin,2017-01-01 17:00:00,149.0,kWh
electricity,Bobcat_education_Alissa,2017-01-01 17:00:00,45.0,kWh
electricity,Bobcat_education_Dylan,2017-01-01 17:00:00,82.0,kWh
electricity,Bobcat_assembly_Franklin,2017-01-01 18:00:00,149.0,kWh
electricity,Bobcat_education_Alissa,2017-01-01 18:00:00,41.75,kWh
electricity,Bobcat_education_Dylan,2017-01-01 18:00:00,81.5,kWh
electricity,Bobcat_assembly_Franklin,2017-01-01 19:00:00,149.0,kWh
electricity,Bobcat_education_Alissa,2017-01-01 19:00:00,42.5,kWh
electricity,Bobcat_education_Dylan,2017-01-01 19:00:00,84.5,kWh
electricity,Bobcat_assembly_Franklin,2017-01-01 20:00:00,150.0,kWh
electricity,Bobcat_education_Alissa,2017-01-01 20:00:00,41.75,kWh
electricity,Bobcat_education_Dylan,2017-01-01 20:00:00,81.5,kWh
